Inorg,Organ,Chla ,BOM,Depth,Flow,Fines,AveAr
0.294225793,0.117625761,0.088475057,0.344203708,0.597269625,0.563049853,0.012961516,0.205306133
0.268553401,0.091445278,0.078550802,0.306008488,0.57337884,0.228739003,0.041534418,0.064673564
0.427680241,0.089038572,0.111315786,0.514183605,0.406143344,0.369501466,0.073516948,0.158648937
0.390489533,0.078023659,0.05416047,0.833593925,1,0.513196481,0.030683547,0.148649026
0.291124302,0,0.131035055,0.276971186,0.28668942,0.387096774,0.041421781,0.134911159
0.29150443,0.096897573,0.031854032,0.231628323,0.307167236,0.266862171,0.001615121,0.045619563
0.484828514,0.038640477,0.144797071,0.052937235,0.344709897,0.574780059,0.021147526,0.052548255
0.374790488,0.042303717,0.150757657,0.255751619,0.651877133,0.246334311,0.054201287,0.098730326
0.335244617,0.101310223,0.091474053,0.079517534,0.522184301,0.278592376,0.039258637,0.050994712
0.285558265,0.12279412,0.0239866,0.045789591,0.481228669,0.316715542,0.082037434,0.130403331
0.330720789,0.069881229,0.170574263,0.199687291,0.621160409,0.222873901,0.056868221,0.072253597
0.513482821,0.083587598,0.085700689,0.058074604,0.56996587,0.539589443,0.000814699,0.638375861
0.30852492,0.104249653,0.09843464,0.001563547,0.470989761,0.360703812,0.014921643,0.237002023
