BaeAcen,BaeBae,BaeHet,BaePla,BaetBaet,CaeCae,EphlSer,EphEphor,HepEpe,HepHep,HepLeu,HepMac,HepRhi,HepStena,HepSteno,IsoIso,LeptTri
20,2,15,42,0,0,0,0,0,0,4,24,0,3,1,21,9
6,13,6,22,0,0,0,0,0,0,1,30,2,0,0,14,9
3,2,0,35,0,0,0,0,0,0,3,49,2,5,0,21,5
4,3,0,82,0,0,0,0,0,0,1,40,0,0,1,19,8
10,5,5,28,0,0,0,0,0,0,0,15,0,0,0,20,3
2,0,0,28,0,0,0,0,0,0,0,8,0,0,0,1,4
7,1,0,32,0,0,0,0,0,0,1,11,2,0,0,4,5
8,4,4,16,0,0,0,0,0,0,1,6,1,0,0,5,4
5,2,0,37,0,0,0,0,0,0,0,9,3,0,0,2,4
0,2,0,58,0,0,1,0,0,0,4,19,1,0,0,3,14
6,0,8,12,0,0,0,0,0,0,0,9,1,0,0,5,5
4,0,1,49,0,0,0,0,0,0,0,27,0,0,0,1,3
1,0,0,29,0,0,0,0,1,0,1,11,0,0,1,5,5
4,0,2,10,0,0,0,0,0,0,0,5,2,0,0,6,5
0,0,0,34,0,0,0,0,0,0,1,41,0,0,3,15,10
0,0,0,41,0,0,1,0,0,0,1,27,0,2,0,2,8
11,0,4,46,0,0,1,0,0,0,0,12,1,0,2,10,8
0,0,0,35,0,0,0,0,0,0,0,13,1,2,0,0,1
0,1,0,59,0,0,0,0,0,1,1,28,1,3,5,4,9
0,0,0,48,0,0,0,0,0,0,4,32,0,0,0,5,49
2,0,2,107,0,0,0,0,0,0,0,20,0,0,3,9,16
7,0,4,37,0,0,1,0,0,0,2,25,0,0,2,16,13
12,0,2,47,0,0,0,0,0,0,4,21,2,0,1,19,29
3,0,1,39,0,0,0,0,0,0,0,12,1,0,0,10,22
2,0,0,32,0,0,0,0,0,0,4,30,0,0,1,9,15
7,0,1,50,0,0,0,0,0,0,1,14,0,0,1,6,20
8,0,1,23,0,0,0,0,0,0,1,18,0,0,0,7,11
3,0,0,50,0,0,0,0,0,0,5,23,0,0,3,17,12
9,0,1,36,0,0,1,0,0,0,2,20,0,0,2,22,17
4,0,0,10,0,0,0,0,0,0,1,5,0,0,1,3,14
16,7,6,29,0,0,0,1,0,2,0,11,0,0,2,7,20
12,3,2,18,0,0,0,0,0,0,1,19,0,0,2,14,15
30,0,1,16,0,0,0,0,0,0,1,12,0,0,1,6,2
1,4,0,32,0,0,0,0,0,0,3,24,0,0,7,7,44
6,0,0,22,0,0,0,0,0,0,7,14,0,2,2,10,12
14,0,0,23,0,0,0,0,0,0,2,12,0,3,0,15,2
3,3,0,50,0,0,0,0,0,0,3,11,0,1,1,6,31
4,1,2,25,0,0,0,0,0,0,2,9,0,1,1,10,3
14,0,0,43,0,0,0,0,0,0,3,28,0,1,1,11,9
