ChiChi,Chitend,ChiPara,ChiPoly,Chisect,ChiRheo,ChiDia,ChiPott,ChiCard,ChiChae,ChiCric,ChiNano,ChiOrtho,ChiThien,ChiTvet,ChiProd,TanThien,EmpHem,TanPro,TipAnt
0,0,0,0,0,8,0,0,0,0,0,0,0,0,0,0,0,0,0,1
0,0,1,0,0,8,0,0,0,0,0,1,2,0,1,0,0,0,0,0
0,0,0,0,0,12,0,0,0,0,0,0,0,0,6,0,0,1,0,0
0,0,0,0,0,14,0,0,0,0,0,0,0,0,0,0,0,0,0,5
0,0,0,6,0,24,0,0,0,0,0,0,0,0,2,0,0,0,0,1
0,0,0,5,0,155,0,12,0,0,0,0,7,0,0,0,0,4,0,1
0,0,0,0,0,14,0,0,0,0,0,0,0,0,1,0,0,0,0,0
0,0,0,1,0,6,0,0,0,0,0,0,0,0,1,0,0,0,0,0
0,0,0,1,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,1,0,2,0,2,0,0,0,0,0,0,1,0,4,0,0,0,0,0
0,0,0,0,0,5,0,0,0,0,0,0,0,0,2,0,0,1,0,0
0,0,0,0,0,9,0,0,0,0,0,0,2,0,4,0,0,0,0,0
0,0,0,0,0,7,0,0,3,0,0,0,1,0,1,0,0,0,0,3
0,0,0,0,0,7,0,0,0,0,0,0,0,0,3,0,0,0,0,0
0,0,0,0,0,11,0,0,0,0,0,0,0,0,3,0,0,0,0,0
0,0,0,0,0,10,0,0,2,0,0,0,6,0,2,0,0,0,0,0
4,0,0,0,0,7,0,0,5,0,0,0,0,0,0,0,0,0,0,0
0,1,0,0,0,4,0,0,0,0,0,0,0,0,2,0,0,0,0,0
0,0,0,0,0,1,0,0,1,0,0,0,0,0,2,0,0,0,0,0
0,0,0,0,0,25,0,0,0,0,0,0,0,0,6,0,0,0,0,2
0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,4,0,0,0,0,0,0,0,0,2,0,0,0,0,0
0,0,0,3,0,27,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,3,0,0,0,0,0,1,0,0,2,0,0,0,0,0
0,0,0,0,0,7,0,0,0,0,0,0,0,0,1,0,0,0,0,0
